iter	op	class	chunk_bytes	comp	pattern	msgs	payload_bytes	chunks_touched	chunk_fetched_bytes	summary_bytes	raw_fetched	raw_reads	file_size	wall	rss_kb
4	read	small	8388608	zstd	streaming	402653	40265300	8	29082008	3945	36258360	124	195307313	0.080382	19532
5	read	small	8388608	zstd	streaming	402653	40265300	8	29082008	3945	36258360	124	195307313	0.079739	19532
1	write	small	16777216	zstd	-	2684355	268435500	0	0	0	0	0	195304885	1.789971	55900
2	write	small	16777216	zstd	-	2684355	268435500	0	0	0	0	0	195304885	1.837594	56076
3	write	small	16777216	zstd	-	2684355	268435500	0	0	0	0	0	195304885	1.888342	55904
1	read	small	16777216	zstd	full	2684355	268435500	21	152351597	2118	193337470	134	195304885	0.430210	44360
2	read	small	16777216	zstd	full	2684355	268435500	21	152351597	2118	193337470	134	195304885	0.431846	44264
3	read	small	16777216	zstd	full	2684355	268435500	21	152351597	2118	193337470	134	195304885	0.430631	44408
4	read	small	16777216	zstd	full	2684355	268435500	21	152351597	2118	193337470	134	195304885	0.427924	44128
5	read	small	16777216	zstd	full	2684355	268435500	21	152351597	2118	193337470	134	195304885	0.424709	44300
1	read	small	16777216	zstd	point	1	100	1	7272333	2118	7274462	54	195304885	0.023665	27988
2	read	small	16777216	zstd	point	1	100	1	7272333	2118	7274462	54	195304885	0.022652	27896
3	read	small	16777216	zstd	point	1	100	1	7272333	2118	7274462	54	195304885	0.023098	27844
4	read	small	16777216	zstd	point	1	100	1	7272333	2118	7274462	54	195304885	0.023230	27992
5	read	small	16777216	zstd	point	1	100	1	7272333	2118	7274462	54	195304885	0.024551	28096
1	read	small	16777216	zstd	range	26843	2684300	1	7272333	2118	7274462	54	195304885	0.023613	27964
2	read	small	16777216	zstd	range	26843	2684300	1	7272333	2118	7274462	54	195304885	0.023700	27964
3	read	small	16777216	zstd	range	26843	2684300	1	7272333	2118	7274462	54	195304885	0.023505	27888
4	read	small	16777216	zstd	range	26843	2684300	1	7272333	2118	7274462	54	195304885	0.023562	28108
5	read	small	16777216	zstd	range	26843	2684300	1	7272333	2118	7274462	54	195304885	0.023292	27880
1	read	small	16777216	zstd	streaming	402653	40265300	5	36356641	2118	44555522	70	195304885	0.102189	34748
2	read	small	16777216	zstd	streaming	402653	40265300	5	36356641	2118	44555522	70	195304885	0.101368	34952
3	read	small	16777216	zstd	streaming	402653	40265300	5	36356641	2118	44555522	70	195304885	0.101030	34796
4	read	small	16777216	zstd	streaming	402653	40265300	5	36356641	2118	44555522	70	195304885	0.100959	34856
5	read	small	16777216	zstd	streaming	402653	40265300	5	36356641	2118	44555522	70	195304885	0.099900	34908
1	write	small	33554432	zstd	-	2684355	268435500	0	0	0	0	0	195303231	1.783876	74316
2	write	small	33554432	zstd	-	2684355	268435500	0	0	0	0	0	195303231	1.897331	74500
3	write	small	33554432	zstd	-	2684355	268435500	0	0	0	0	0	195303231	1.875023	74436
1	read	small	33554432	zstd	full	2684355	268435500	11	152351493	1248	193335832	74	195303231	0.431378	65396
2	read	small	33554432	zstd	full	2684355	268435500	11	152351493	1248	193335832	74	195303231	0.436186	65312
3	read	small	33554432	zstd	full	2684355	268435500	11	152351493	1248	193335832	74	195303231	0.442336	65428
4	read	small	33554432	zstd	full	2684355	268435500	11	152351493	1248	193335832	74	195303231	0.435154	65272
5	read	small	33554432	zstd	full	2684355	268435500	11	152351493	1248	193335832	74	195303231	0.427799	65412
1	read	small	33554432	zstd	point	1	100	1	14543776	1248	14545035	34	195303231	0.046353	51456
2	read	small	33554432	zstd	point	1	100	1	14543776	1248	14545035	34	195303231	0.047395	51248
3	read	small	33554432	zstd	point	1	100	1	14543776	1248	14545035	34	195303231	0.045936	51312
4	read	small	33554432	zstd	point	1	100	1	14543776	1248	14545035	34	195303231	0.045092	51456
5	read	small	33554432	zstd	point	1	100	1	14543776	1248	14545035	34	195303231	0.045428	51384
1	read	small	33554432	zstd	range	26843	2684300	1	14543776	1248	14545035	34	195303231	0.045766	51456
2	read	small	33554432	zstd	range	26843	2684300	1	14543776	1248	14545035	34	195303231	0.045644	51472
3	read	small	33554432	zstd	range	26843	2684300	1	14543776	1248	14545035	34	195303231	0.045315	51460
4	read	small	33554432	zstd	range	26843	2684300	1	14543776	1248	14545035	34	195303231	0.045385	51472
5	read	small	33554432	zstd	range	26843	2684300	1	14543776	1248	14545035	34	195303231	0.045831	51468
1	read	small	33554432	zstd	streaming	402653	40265300	3	43625458	1248	51823333	42	195303231	0.126019	65468
2	read	small	33554432	zstd	streaming	402653	40265300	3	43625458	1248	51823333	42	195303231	0.126282	65352
3	read	small	33554432	zstd	streaming	402653	40265300	3	43625458	1248	51823333	42	195303231	0.127044	65240
4	read	small	33554432	zstd	streaming	402653	40265300	3	43625458	1248	51823333	42	195303231	0.125262	65460
5	read	small	33554432	zstd	streaming	402653	40265300	3	43625458	1248	51823333	42	195303231	0.126125	65432
1	write	jpeg	262144	zstd	-	1790	268500000	0	0	0	0	0	268847750	0.698949	5280
2	write	jpeg	262144	zstd	-	1790	268500000	0	0	0	0	0	268847750	0.892915	5216
3	write	jpeg	262144	zstd	-	1790	268500000	0	0	0	0	0	268847750	0.832951	5256
1	read	jpeg	262144	zstd	full	1790	268500000	1790	268555601	148887	268847615	10748	268847750	0.028246	5820
2	read	jpeg	262144	zstd	full	1790	268500000	1790	268555601	148887	268847615	10748	268847750	0.034254	5912
3	read	jpeg	262144	zstd	full	1790	268500000	1790	268555601	148887	268847615	10748	268847750	0.027711	5820
4	read	jpeg	262144	zstd	full	1790	268500000	1790	268555601	148887	268847615	10748	268847750	0.026773	5776
5	read	jpeg	262144	zstd	full	1790	268500000	1790	268555601	148887	268847615	10748	268847750	0.027068	5864
1	read	jpeg	262144	zstd	point	1	150000	1	150031	148887	298925	3592	268847750	0.000091	5916
2	read	jpeg	262144	zstd	point	1	150000	1	150031	148887	298925	3592	268847750	0.000085	5752
3	read	jpeg	262144	zstd	point	1	150000	1	150031	148887	298925	3592	268847750	0.000083	5824
4	read	jpeg	262144	zstd	point	1	150000	1	150031	148887	298925	3592	268847750	0.000081	5780
5	read	jpeg	262144	zstd	point	1	150000	1	150031	148887	298925	3592	268847750	0.000079	5692
1	read	jpeg	262144	zstd	range	18	2700000	18	2700558	148887	2850812	3660	268847750	0.000366	5968
2	read	jpeg	262144	zstd	range	18	2700000	18	2700558	148887	2850812	3660	268847750	0.000361	5740
3	read	jpeg	262144	zstd	range	18	2700000	18	2700558	148887	2850812	3660	268847750	0.000329	5812
4	read	jpeg	262144	zstd	range	18	2700000	18	2700558	148887	2850812	3660	268847750	0.000338	5832
